id,content_id,field_id,value,nested_array_index,created_at,updated_at
dfcbd3fa-e15d-4bdf-ac29-96694d1bcc38,a821ddb9-6c62-47e1-a3b0-5bde6bfac777,bf3f718b-d99f-40df-9cb9-de4ca339aec2,（サタケ）2024年 年頭所感(農協協会様用)　サタケ,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
0eb534a0-b06d-4c4f-9a07-75309f7d0ea9,77d975fc-1c8f-4854-9c03-4c94a4ff5e66,bf3f718b-d99f-40df-9cb9-de4ca339aec2,20231214（雪印メグミルク）年頭所感,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
d5156e03-070d-4112-910d-f1d9147820d4,12d9deaa-e337-4915-8bd5-952f6d8cf579,bf3f718b-d99f-40df-9cb9-de4ca339aec2,年頭あいさつ2024版_（全農薬大森）,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
14edb538-75a9-4a07-8799-4e9dfcbd136d,e147edbd-e1c6-46bc-b106-9f8c0d949bf8,bf3f718b-d99f-40df-9cb9-de4ca339aec2,（東洋ライス）【最終】年頭所感(800字),,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
34a07890-1c24-43bf-a296-f563ab0c1472,72d9573d-b401-4dbc-8a72-2a23694936ef,bf3f718b-d99f-40df-9cb9-de4ca339aec2,2024年JAcom農業協同組合新聞年頭所感（JCPA農薬工業会）,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
595b179b-126d-4080-8d22-28342eb77615,69f79794-ee0a-4819-9a1b-4d39f0ff9030,bf3f718b-d99f-40df-9cb9-de4ca339aec2,06年頭所感業界各紙向け（一般社団法人日本農業機械化協会）,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
2fb2d714-132a-4add-b169-b05cfbdef4b0,ba4ef640-9161-416a-a906-028bc55cce4b,bf3f718b-d99f-40df-9cb9-de4ca339aec2,2024年_JAcom年頭挨拶原稿（シンジェンタ）,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
a83a01ae-335d-48c4-8c6a-61001a9d84ae,7210bb31-20f6-40d7-9257-766464541954,bf3f718b-d99f-40df-9cb9-de4ca339aec2,（住友）◎JAcom年頭所感_20231220,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
99c9fbca-d162-4df2-bfea-42da23081330,d8711a8f-2498-4201-bf4c-27fa34cbe231,bf3f718b-d99f-40df-9cb9-de4ca339aec2,（木股会長）2024日農工会長_年頭所感（統計データ確定版）,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
4d317758-1af6-4eff-8dca-67d1adb068cc,91030ecf-6c26-4a93-b38b-deeb1e98e802,bf3f718b-d99f-40df-9cb9-de4ca339aec2,2024年新年の挨拶原稿のご依頼_（日本農薬）様,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
