id,setting_id,site_id,title,slug,status,scheduled_publish_at,published_at,updated_by,created_at,updated_at,deleted_at
a821ddb9-6c62-47e1-a3b0-5bde6bfac777,6f797a84-5138-404b-9b4d-a11c27f7f9e0,851383be-e14a-42df-977d-8e420ec723ec,【年頭あいさつ　2024】松本和久　株式会社サタケ　代表取締役社長,240103-71414,PUBLISHED,,2020-01-01T00:00:00.000Z,coreda,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
77d975fc-1c8f-4854-9c03-4c94a4ff5e66,6f797a84-5138-404b-9b4d-a11c27f7f9e0,851383be-e14a-42df-977d-8e420ec723ec,【年頭あいさつ　2024】佐藤雅俊　雪印メグミルク株式会社　代表取締役社長,240103-71415,PUBLISHED,,2020-01-01T00:00:00.000Z,coreda,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
12d9deaa-e337-4915-8bd5-952f6d8cf579,6f797a84-5138-404b-9b4d-a11c27f7f9e0,851383be-e14a-42df-977d-8e420ec723ec,【年頭あいさつ　2024】大森茂　全国農薬協同組合　理事長,240102-71433,PUBLISHED,,2020-01-01T00:00:00.000Z,coreda,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
e147edbd-e1c6-46bc-b106-9f8c0d949bf8,6f797a84-5138-404b-9b4d-a11c27f7f9e0,851383be-e14a-42df-977d-8e420ec723ec,【年頭あいさつ　2024】雜賀慶二　東洋ライス　代表取締役,240103-71473,PUBLISHED,,2020-01-01T00:00:00.000Z,coreda,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
72d9573d-b401-4dbc-8a72-2a23694936ef,6f797a84-5138-404b-9b4d-a11c27f7f9e0,851383be-e14a-42df-977d-8e420ec723ec,【年頭あいさつ　2024】小澤敏　JCPA農薬工業会　会長,240102-71474,PUBLISHED,,2020-01-01T00:00:00.000Z,coreda,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
69f79794-ee0a-4819-9a1b-4d39f0ff9030,6f797a84-5138-404b-9b4d-a11c27f7f9e0,851383be-e14a-42df-977d-8e420ec723ec,【年頭あいさつ　2024】菱沼義久　一般社団法人日本農業機械化協会　会長,240103-71475,PUBLISHED,,2020-01-01T00:00:00.000Z,coreda,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
ba4ef640-9161-416a-a906-028bc55cce4b,6f797a84-5138-404b-9b4d-a11c27f7f9e0,851383be-e14a-42df-977d-8e420ec723ec,【年頭あいさつ　2024】的場稔　シンジェンタジャパン株式会社　代表取締役会長,240102-71492,PUBLISHED,,2020-01-01T00:00:00.000Z,coreda,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
7210bb31-20f6-40d7-9257-766464541954,6f797a84-5138-404b-9b4d-a11c27f7f9e0,851383be-e14a-42df-977d-8e420ec723ec,【年頭あいさつ　2024】藤本博明　住友化学株式会社　常務執行役員アグロ事業部担当,240102-71499,PUBLISHED,,2020-01-01T00:00:00.000Z,coreda,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
d8711a8f-2498-4201-bf4c-27fa34cbe231,6f797a84-5138-404b-9b4d-a11c27f7f9e0,851383be-e14a-42df-977d-8e420ec723ec,【年頭あいさつ　2024】木股昌俊　一般社団法人日本農業機械工業会　会長,240103-71500,PUBLISHED,,2020-01-01T00:00:00.000Z,coreda,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
91030ecf-6c26-4a93-b38b-deeb1e98e802,6f797a84-5138-404b-9b4d-a11c27f7f9e0,851383be-e14a-42df-977d-8e420ec723ec,【年頭あいさつ　2024】岩田浩幸　日本農薬株式会社　代表取締役社長,240102-71502,PUBLISHED,,2020-01-01T00:00:00.000Z,coreda,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z,
