id,content_id,field_id,value,nested_array_index,created_at,updated_at
4a5b5cd2-e236-4236-a60b-919c696564be,a821ddb9-6c62-47e1-a3b0-5bde6bfac777,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
94e92d39-07ae-46d0-b6fa-b92ecab8400d,77d975fc-1c8f-4854-9c03-4c94a4ff5e66,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
c494608e-bcae-4962-8e7f-4741eb3ca46d,12d9deaa-e337-4915-8bd5-952f6d8cf579,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
8980a7db-558f-4459-acec-0cd70b4fcce2,e147edbd-e1c6-46bc-b106-9f8c0d949bf8,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
685903fc-a6c2-47a5-9637-ad75a088ef73,72d9573d-b401-4dbc-8a72-2a23694936ef,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
90abffe8-aaa3-4b84-af04-eec680ae5e62,69f79794-ee0a-4819-9a1b-4d39f0ff9030,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
e16458e5-9948-4e7d-84d7-cdce7752cc0a,ba4ef640-9161-416a-a906-028bc55cce4b,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
4bee8729-555e-4893-a5e8-d1d6f7d8a65f,7210bb31-20f6-40d7-9257-766464541954,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
ba0303de-ec4f-4224-84f3-44e947e75cb5,d8711a8f-2498-4201-bf4c-27fa34cbe231,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
167bbfb3-86ad-4148-aa75-84b5b0d6a799,91030ecf-6c26-4a93-b38b-deeb1e98e802,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
5c07d37a-2f33-43f0-a632-e3a8df70128d,629dbb09-6f44-4583-9fdb-a7625ba1afd4,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
4f277e29-84a2-4d12-a8df-70fa9f2d8ff9,bf97a5b4-baac-4a89-bb6b-e7d197435871,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
76741f45-fd8c-4acb-a9a6-270379bc4cc2,c36a1a8d-8e2d-4b2c-aa44-ae41625eba0f,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
41423f9e-7437-483c-ad55-f926ed3021f2,6b22fada-748b-4ba4-8581-8b42dccc84c6,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
2f08e8c5-00f3-46d2-b9ec-9c0e212192e1,2b14b0aa-9bd6-439c-821c-2abaf41d826d,2cb503cf-d556-4726-a80b-ad3c86f9e53b,false,,2020-01-01T00:00:00.000Z,2025-10-09T16:00:47.887Z
